[2026-06-03T16:28:43.781+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10404, completion-tokens, 604, total-tokens, 11008, cost-ms, 15470, requestId, , temperature, 0
[2026-06-03T16:28:51.501+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10666, completion-tokens, 158, total-tokens, 10824, cost-ms, 6004, requestId, , temperature, 0
[2026-06-03T16:29:03.390+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10891, completion-tokens, 251, total-tokens, 11142, cost-ms, 10064, requestId, , temperature, 0
[2026-06-03T16:29:15.103+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11173, completion-tokens, 212, total-tokens, 11385, cost-ms, 9962, requestId, , temperature, 0
[2026-06-03T16:29:24.208+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11467, completion-tokens, 212, total-tokens, 11679, cost-ms, 7399, requestId, , temperature, 0
[2026-06-03T16:29:36.068+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11773, completion-tokens, 212, total-tokens, 11985, cost-ms, 10191, requestId, , temperature, 0
[2026-06-03T16:29:48.629+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 12091, completion-tokens, 212, total-tokens, 12303, cost-ms, 10837, requestId, , temperature, 0
[2026-06-03T16:30:00.949+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 12421, completion-tokens, 212, total-tokens, 12633, cost-ms, 10611, requestId, , temperature, 0
[2026-06-03T16:45:01.245+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9943, completion-tokens, 163, total-tokens, 10106, cost-ms, 7600, requestId, , temperature, 0
[2026-06-03T16:45:21.339+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10137, completion-tokens, 623, total-tokens, 10760, cost-ms, 16442, requestId, , temperature, 0
[2026-06-03T16:45:30.914+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10415, completion-tokens, 202, total-tokens, 10617, cost-ms, 7718, requestId, , temperature, 0
[2026-06-03T16:45:40.784+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10683, completion-tokens, 174, total-tokens, 10857, cost-ms, 8028, requestId, , temperature, 0
[2026-06-03T16:46:06.642+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10918, completion-tokens, 151, total-tokens, 11069, cost-ms, 24168, requestId, , temperature, 0
[2026-06-03T16:46:17.266+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11164, completion-tokens, 177, total-tokens, 11341, cost-ms, 8942, requestId, , temperature, 0
[2026-06-03T16:46:41.108+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9912, completion-tokens, 109, total-tokens, 10021, cost-ms, 7467, requestId, , temperature, 0
[2026-06-03T16:47:07.039+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10052, completion-tokens, 224, total-tokens, 10276, cost-ms, 22407, requestId, , temperature, 0
[2026-06-03T16:47:18.060+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10307, completion-tokens, 177, total-tokens, 10484, cost-ms, 9333, requestId, , temperature, 0
[2026-06-03T16:47:38.981+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9914, completion-tokens, 216, total-tokens, 10130, cost-ms, 16982, requestId, , temperature, 0
[2026-06-03T16:47:46.480+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10150, completion-tokens, 143, total-tokens, 10293, cost-ms, 5834, requestId, , temperature, 0
[2026-06-03T16:47:56.646+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9925, completion-tokens, 219, total-tokens, 10144, cost-ms, 7211, requestId, , temperature, 0
[2026-06-03T16:48:07.662+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10197, completion-tokens, 265, total-tokens, 10462, cost-ms, 9316, requestId, , temperature, 0
[2026-06-03T16:48:20.195+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10515, completion-tokens, 265, total-tokens, 10780, cost-ms, 9107, requestId, , temperature, 0
[2026-06-03T16:48:30.770+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10804, completion-tokens, 319, total-tokens, 11123, cost-ms, 8842, requestId, , temperature, 0
[2026-06-03T16:48:54.370+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11149, completion-tokens, 219, total-tokens, 11368, cost-ms, 20839, requestId, , temperature, 0
[2026-06-03T16:49:04.873+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11487, completion-tokens, 215, total-tokens, 11702, cost-ms, 8784, requestId, , temperature, 0
[2026-06-03T16:49:14.290+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11844, completion-tokens, 247, total-tokens, 12091, cost-ms, 7669, requestId, , temperature, 0
[2026-06-03T17:03:22.904+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9943, completion-tokens, 230, total-tokens, 10173, cost-ms, 12495, requestId, , temperature, 0
[2026-06-03T17:03:40.219+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10170, completion-tokens, 528, total-tokens, 10698, cost-ms, 13797, requestId, , temperature, 0
[2026-06-03T17:03:50.505+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10457, completion-tokens, 205, total-tokens, 10662, cost-ms, 8535, requestId, , temperature, 0
[2026-06-03T17:04:00.988+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10720, completion-tokens, 204, total-tokens, 10924, cost-ms, 8758, requestId, , temperature, 0
[2026-06-03T17:04:11.123+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11001, completion-tokens, 167, total-tokens, 11168, cost-ms, 8441, requestId, , temperature, 0
[2026-06-03T17:04:22.343+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11276, completion-tokens, 311, total-tokens, 11587, cost-ms, 9495, requestId, , temperature, 0
[2026-06-03T17:04:30.428+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11609, completion-tokens, 162, total-tokens, 11771, cost-ms, 6367, requestId, , temperature, 0
[2026-06-03T17:04:40.304+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11910, completion-tokens, 257, total-tokens, 12167, cost-ms, 8153, requestId, , temperature, 0
[2026-06-03T17:05:02.543+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9912, completion-tokens, 206, total-tokens, 10118, cost-ms, 11937, requestId, , temperature, 0
[2026-06-03T17:05:13.387+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10115, completion-tokens, 195, total-tokens, 10310, cost-ms, 7385, requestId, , temperature, 0
[2026-06-03T17:05:22.190+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10310, completion-tokens, 99, total-tokens, 10409, cost-ms, 7140, requestId, , temperature, 0
[2026-06-03T17:05:33.453+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9914, completion-tokens, 220, total-tokens, 10134, cost-ms, 7317, requestId, , temperature, 0
[2026-06-03T17:05:42.812+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10154, completion-tokens, 166, total-tokens, 10320, cost-ms, 7722, requestId, , temperature, 0
[2026-06-03T17:05:53.093+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 9925, completion-tokens, 233, total-tokens, 10158, cost-ms, 7325, requestId, , temperature, 0
[2026-06-03T17:06:05.076+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10179, completion-tokens, 311, total-tokens, 10490, cost-ms, 10301, requestId, , temperature, 0
[2026-06-03T17:06:25.757+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10400, completion-tokens, 723, total-tokens, 11123, cost-ms, 17616, requestId, , temperature, 0
[2026-06-03T17:06:42.074+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10674, completion-tokens, 476, total-tokens, 11150, cost-ms, 13454, requestId, , temperature, 0
[2026-06-03T17:06:50.160+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 10922, completion-tokens, 121, total-tokens, 11043, cost-ms, 6340, requestId, , temperature, 0
[2026-06-03T17:07:03.279+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11180, completion-tokens, 250, total-tokens, 11430, cost-ms, 11391, requestId, , temperature, 0
[2026-06-03T17:07:15.603+08:00] model, qwen3.6-plus, mode, qwen3.6, ui-tars-version, undefined, prompt-tokens, 11453, completion-tokens, 242, total-tokens, 11695, cost-ms, 10545, requestId, , temperature, 0
